
num2    type1   type2   ukn7        vert
0x1     0x1015  0x2     0x2d881005  9
0x1     0x1015  0x2     0x2d881105  9
0x1     0x1015  0x2     0x2d881205  9
0x1     0x1005  0x2     0x5         6
0x2     0x1005  0x1     0x1005      8
0x2     0x1005  0x1     0x201005    8
0x2     0x1505  0x1     0x1005      14


 num2:0x3 t1:0x1005 t2:0 ukn7:0 vp 3
 num2:0x1 t1:0x1015 t2:0x2 ukn7:0xcc81005 vp 9
 num2:0x1 t1:0x1015 t2:0x2 ukn7:0xcc81205 vp 9
 num2:0x1 t1:0x1015 t2:0x2 ukn7:0xd081005 vp 9
 num2:0x1 t1:0x1015 t2:0x2 ukn7:0xd801205 vp 9
 num2:0x1 t1:0x1015 t2:0x2 ukn7:0xd801605 vp 9
 num2:0x1 t1:0x1015 t2:0x2 ukn7:0xd881005 vp 9
 num2:0x1 t1:0x1015 t2:0x2 ukn7:0xd881205 vp 9
 num2:0x1 t1:0x1015 t2:0x2 ukn7:0xd881405 vp 9
 num2:0x1 t1:0x1015 t2:0x2 ukn7:0xd881605 vp 9
 num2:0x1 t1:0x1015 t2:0x2 ukn7:0xd881606 vp 9
 num2:0x1 t1:0x1015 t2:0x2 ukn7:0x2d881005 vp 9
 num2:0x1 t1:0x1015 t2:0x2 ukn7:0x2d881105 vp 9
 num2:0x1 t1:0x1015 t2:0x2 ukn7:0xd881205 vp 9


 num2:0x1 t1:0x1505 t2:0x2 ukn7:0x10207415 vp 14
 num2:0x1 t1:0x1505 t2:0x2 ukn7:0x207415 vp 14
 num2:0x1 t1:0x1505 t2:0x2 ukn7:0x1405 vp 14
 num2:0x2 t1:0x1505 t2:0x1 ukn7:0x10203405 vp 14
 num2:0x2 t1:0x1505 t2:0x1 ukn7:0x10207005 vp 14
 num2:0x2 t1:0x1505 t2:0x1 ukn7:0x10207015 vp 14
 num2:0x2 t1:0x1505 t2:0x1 ukn7:0x10207415 vp 14
 num2:0x2 t1:0x1505 t2:0x1 ukn7:0x10287015 vp 14
 num2:0x2 t1:0x1505 t2:0x1 ukn7:0x10307055 vp 14
 num2:0x2 t1:0x1505 t2:0x1 ukn7:0x10307095 vp 14
